Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),activity,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.748621826,-0.2173137814,-0.07443529367,-0.05432844535,0.2360454882,rotation,,,,
0.751114534,-0.1917474568,-0.07976161689,-0.03315633163,0.2103053614,rotation,,,,
0.753607242,-0.1619200706,-0.09041424841,-0.008655266836,0.1856549467,rotation,,,,
0.756100003,-0.1257011145,-0.1031974182,0.02117211558,0.1640083406,rotation,,,,
0.758552503,-0.09374319762,-0.1095889956,0.04567318037,0.1512731782,rotation,,,,
0.761005003,-0.06817687303,-0.1085237339,0.07017423958,0.1461160865,rotation,,,,
0.763457503,-0.05432844535,-0.09680583328,0.08934898674,0.1424997922,rotation,,,,
0.765950055,-0.0521979183,-0.08402267098,0.09361004084,0.1361883683,rotation,,,,
0.768362503,-0.05858949944,-0.07123950869,0.09147951752,0.129908811,rotation,,,,
0.770815003,-0.06711161137,-0.06591318548,0.09361004084,0.1327077848,rotation,,,,
0.773267503,-0.07669898123,-0.07230477035,0.09147951752,0.1395679607,rotation,,,,
0.775720003,-0.08415582776,-0.09254477918,0.08934898674,0.1537204636,rotation,,,,
0.778172503,-0.09693899006,-0.1170458421,0.08615319431,0.1746976526,rotation,,,,
0.780625159,-0.1193095297,-0.1543300748,0.07976161689,0.2107473639,rotation,,,,
0.783119742,-0.1438105851,-0.1958753467,0.08189214021,0.2564272966,rotation,,,,
0.785614326,-0.1683116555,-0.2331595868,0.07869634777,0.2981364142,rotation,,,,
0.788108909,-0.1981390417,-0.2651174963,0.07550056279,0.339480046,rotation,,,,
0.79060344,-0.2237053663,-0.2885532975,0.07443529367,0.372622744,rotation,,,,
0.793098076,-0.2407495826,-0.3098585606,0.07123950869,0.3988079196,rotation,,,,
0.795592659,-0.2545980215,-0.326902777,0.06804371625,0.419899423,rotation,,,,
0.798142659,-0.2695116997,-0.3450122476,0.06378266215,0.4424231405,rotation,,,,
0.800689222,-0.2769685388,-0.3545996249,0.06058686972,0.4540079671,rotation,,,,
0.803186565,-0.2812296152,-0.3663175404,0.06271740049,0.4660601991,rotation,,,,
0.805683857,-0.2844253778,-0.3780354261,0.06484792382,0.4775079394,rotation,,,,
0.808181149,-0.2854906619,-0.3876228034,0.07017423958,0.4864984889,rotation,,,,
0.810678492,-0.2844253778,-0.3918838501,0.07337003201,0.4897488225,rotation,,,,
0.813175784,-0.2780338228,-0.399340719,0.07763108611,0.4927498371,rotation,,,,
0.815673128,-0.2716422379,-0.3929491341,0.07550056279,0.4836309155,rotation,,,,
0.818147711,-0.2577938139,-0.3801659644,0.07123950869,0.4648213405,rotation,,,,
0.820644482,-0.2418148518,-0.3524691164,0.06591318548,0.4324967614,rotation,,,,
0.823141253,-0.2226400971,-0.3183806837,0.06058686972,0.3931992388,rotation,,,,
0.825638024,-0.2013348341,-0.2832269669,0.05099949613,0.3512181356,rotation,,,,
0.828134742,-0.178964287,-0.2374206334,0.04034686089,0.3000410679,rotation,,,,
0.830631513,-0.1597895473,-0.1916143,0.03289001435,0.2516555035,rotation,,,,
0.833128232,-0.1416800618,-0.1426121742,0.02117211558,0.2021379,rotation,,,,
0.835625055,-0.1257011145,-0.09574057162,0.01051947847,0.1583593593,rotation,,,,
0.838175055,-0.1129179448,-0.05526055023,-0.002263685223,0.1257350983,rotation,,,,
0.840677242,-0.09800425172,-0.02450106293,-0.01824264042,0.1026544172,rotation,,,,
0.843338336,-0.08948214352,-0.002130527282,-0.03102580272,0.09473222044,rotation,,,,
0.845840472,-0.0830905661,0.01491369121,-0.04167843983,0.09414644288,rotation,,,,
0.848342659,-0.07989477366,0.02237053588,-0.06072002649,0.1028131186,rotation,,,,
0.850844847,-0.08096003532,0.02130527236,-0.07669898123,0.1135393133,rotation,,,,
0.853346982,-0.08415582776,0.02024000883,-0.09587372839,0.1291651389,rotation,,,,
0.855849169,-0.09054741263,0.01384842768,-0.1161137372,0.1478952767,rotation,,,,
