"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.170940162E0,1.373777390E0,-5.806798935E0,9.490825534E-1,6.042096977E0
1.175925318E0,1.403828144E0,-5.655251026E0,2.291454315E0,6.261258700E0
1.180910474E0,-1.189812660E0,-5.082561016E0,1.954145789E0,5.573756939E0
1.185895631E0,-2.847635269E0,-5.111154079E0,3.988562107E0,7.081069858E0
1.190873391E0,-1.412223053E1,2.378484011E0,8.498190880E0,1.665274240E1
1.195858183E0,-3.521076584E1,1.845384598E1,2.715588570E1,4.814337535E1
1.200842974E0,-1.464320183E0,-2.345877647E0,3.230747604E1,3.242561308E1
1.205827766E0,2.341568756E1,-1.896393776E1,1.760384941E1,3.489729034E1
1.210825474E0,2.181327248E1,-1.645617676E1,-7.715151310E-1,2.733532230E1
1.215810891E0,8.817637444E0,-6.257921696E0,-1.477414131E1,1.830812840E1
1.220796360E0,-5.975478172E0,3.432471514E0,-1.824541855E1,1.950342273E1
1.225781776E0,-1.232084465E1,7.414970875E0,-1.264222050E1,1.914708189E1
1.230759068E0,-1.094337273E1,7.606542587E0,-6.576008320E0,1.486138561E1
1.235744068E0,-7.245785236E0,6.546562195E0,-3.630143881E0,1.041810083E1
1.240729120E0,-4.756967545E0,5.826416969E0,-1.741369724E0,7.720637502E0
1.245714120E0,-3.789745331E0,5.695322990E0,4.831256270E-1,6.858008750E0
1.250692089E0,-3.335785866E0,5.581711769E0,3.728727102E0,7.495757428E0
1.255676776E0,-3.499757290E0,5.697290421E0,6.877455235E0,9.592018022E0
1.260661464E0,-3.489006042E0,5.946057320E0,8.020551682E0,1.057629472E1
1.265646151E0,-3.057885170E0,5.963333130E0,6.853050232E0,9.585212633E0
1.270638964E0,-2.090918303E0,6.081815720E0,3.504127026E0,7.323887493E0
1.275624068E0,-1.295949936E0,5.768376350E0,-6.781373024E-1,5.950926160E0
1.280609172E0,-5.942339897E-1,4.553834915E0,-5.776926517E0,7.379932687E0
1.285594224E0,-6.166601181E-2,5.519294739E0,-1.189448929E1,1.311279118E1
1.290592714E0,3.206260681E0,1.241498756E1,-1.363267422E1,1.871528333E1
1.295578443E0,8.406040192E0,1.376188469E1,-5.022072792E0,1.689000287E1
1.300564224E0,1.073627090E1,3.570666790E0,-9.829118729E0,1.498761987E1
1.305549953E0,1.069757843E1,7.877878189E0,-6.395077705E0,1.474436055E1
