"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
7.781725030E-1,-9.693899006E-2,-1.170458421E-1,8.615319431E-2,1.746976526E-1
7.806251590E-1,-1.193095297E-1,-1.543300748E-1,7.976161689E-2,2.107473639E-1
7.831197420E-1,-1.438105851E-1,-1.958753467E-1,8.189214021E-2,2.564272966E-1
7.856143260E-1,-1.683116555E-1,-2.331595868E-1,7.869634777E-2,2.981364142E-1
7.881089090E-1,-1.981390417E-1,-2.651174963E-1,7.550056279E-2,3.394800460E-1
7.906034400E-1,-2.237053663E-1,-2.885532975E-1,7.443529367E-2,3.726227440E-1
7.930980760E-1,-2.407495826E-1,-3.098585606E-1,7.123950869E-2,3.988079196E-1
7.955926590E-1,-2.545980215E-1,-3.269027770E-1,6.804371625E-2,4.198994230E-1
7.981426590E-1,-2.695116997E-1,-3.450122476E-1,6.378266215E-2,4.424231405E-1
8.006892220E-1,-2.769685388E-1,-3.545996249E-1,6.058686972E-2,4.540079671E-1
8.031865650E-1,-2.812296152E-1,-3.663175404E-1,6.271740049E-2,4.660601991E-1
8.056838570E-1,-2.844253778E-1,-3.780354261E-1,6.484792382E-2,4.775079394E-1
8.081811490E-1,-2.854906619E-1,-3.876228034E-1,7.017423958E-2,4.864984889E-1
8.106784920E-1,-2.844253778E-1,-3.918838501E-1,7.337003201E-2,4.897488225E-1
8.131757840E-1,-2.780338228E-1,-3.993407190E-1,7.763108611E-2,4.927498371E-1
8.156731280E-1,-2.716422379E-1,-3.929491341E-1,7.550056279E-2,4.836309155E-1
