"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.384101208E0,1.722819209E-1,-1.616674364E-1,-5.938418508E-1
2.394111208E0,2.310448289E-1,-7.670515031E-2,-6.368889213E-1
2.404122208E0,3.052930534E-1,-2.683534846E-2,-6.430039406E-1
2.414132208E0,3.993849456E-1,-2.835281752E-2,-6.163885593E-1
2.424142208E0,5.040919185E-1,-8.070726693E-2,-5.638404489E-1
2.434153208E0,6.112002730E-1,-1.662152410E-1,-4.914754927E-1
2.444163208E0,7.140298486E-1,-2.646973431E-1,-4.117549062E-1
2.454173208E0,8.068976998E-1,-3.579210341E-1,-3.372670710E-1
2.464184208E0,8.986845016E-1,-4.409213364E-1,-2.709562182E-1
2.474194208E0,9.827713966E-1,-5.289701819E-1,-2.318202555E-1
2.484204208E0,1.051651120E0,-6.252920032E-1,-2.110075206E-1
2.494215208E0,1.097564101E0,-7.157363892E-1,-2.107553184E-1
2.504225208E0,1.112631559E0,-7.731398940E-1,-2.143830061E-1
2.514236208E0,1.099236131E0,-7.904642820E-1,-2.220281363E-1
2.524246208E0,1.044812560E0,-7.907806039E-1,-2.315413803E-1
2.534256208E0,9.526694417E-1,-7.840846181E-1,-2.356415838E-1
2.544267208E0,8.388758302E-1,-7.715290189E-1,-2.365345359E-1
2.554277208E0,7.040773034E-1,-7.464175820E-1,-2.296177745E-1
2.564287208E0,5.504029393E-1,-7.146577835E-1,-2.154463530E-1
2.574298208E0,3.841524422E-1,-6.625330448E-1,-1.904136986E-1
2.584308208E0,2.198113501E-1,-5.812008381E-1,-1.587941498E-1
2.594318208E0,6.262731552E-2,-4.777024090E-1,-1.393980831E-1
2.604329208E0,-6.566497684E-2,-3.641892672E-1,-1.262892187E-1
2.614339208E0,-1.639707834E-1,-2.547184229E-1,-1.245397851E-1
2.624350208E0,-2.287149727E-1,-1.666242927E-1,-1.207906306E-1
2.634360208E0,-2.536834180E-1,-1.052328348E-1,-1.185823381E-1
2.644370208E0,-2.655768096E-1,-6.504788250E-2,-1.077368855E-1
2.654381208E0,-2.714434862E-1,-3.448411450E-2,-8.246773481E-2
2.664391208E0,-2.896446884E-1,1.110486593E-2,-6.685096771E-2
2.674401208E0,-3.248375654E-1,7.090135664E-2,-6.569755077E-2
2.684412208E0,-3.856364787E-1,1.304758042E-1,-7.811247557E-2
2.694422208E0,-4.614100754E-1,1.744155735E-1,-8.596214652E-2
2.704432208E0,-5.388033986E-1,1.711454540E-1,-6.621825695E-2
2.714443208E0,-5.986790061E-1,9.999936819E-2,1.331731584E-2
2.724453208E0,-6.455044746E-1,-2.501922101E-2,1.598607302E-1
2.734463208E0,-6.918532848E-1,-1.174990907E-1,3.025257289E-1
2.744474208E0,-7.387519479E-1,-1.564493924E-1,4.245210588E-1
2.754484208E0,-7.887306809E-1,-1.177131832E-1,4.992504120E-1
2.764494208E0,-8.370233774E-1,1.641905401E-3,5.337357521E-1
2.774505208E0,-8.543674946E-1,1.761772335E-1,5.482196212E-1
2.784515208E0,-8.321110606E-1,3.421169817E-1,5.628233552E-1
2.794526208E0,-7.685939074E-1,4.572435617E-1,5.902081132E-1
2.804536208E0,-6.614001393E-1,5.126352310E-1,6.388585567E-1
2.814546208E0,-5.179582834E-1,5.114367604E-1,6.884455681E-1
2.824557208E0,-3.454648256E-1,4.660645425E-1,7.245671153E-1
2.834567208E0,-1.514240056E-1,3.748611212E-1,7.405567169E-1
2.844577208E0,5.411610380E-2,2.473894805E-1,7.363353372E-1
2.854588208E0,2.733315527E-1,1.114939675E-1,7.167190313E-1
2.864598208E0,4.963871837E-1,-1.578844525E-2,6.912413836E-1
2.874608208E0,7.124837637E-1,-1.263309419E-1,6.600911617E-1
2.884619208E0,9.079664946E-1,-2.124754637E-1,6.263478994E-1
2.894629208E0,1.067694306E0,-2.764557600E-1,5.924085975E-1
2.904639208E0,1.196541429E0,-3.202265501E-1,5.511993766E-1
2.914650208E0,1.288875699E0,-3.664209247E-1,5.078785419E-1
2.924660208E0,1.348075867E0,-4.081237912E-1,4.594778419E-1
2.934671208E0,1.365098000E0,-4.703831673E-1,4.197048843E-1
2.944681208E0,1.344829082E0,-5.379285216E-1,3.950532675E-1
2.954691208E0,1.277364492E0,-5.859532952E-1,3.756582737E-1
2.964702208E0,1.153560996E0,-5.954807997E-1,3.710091710E-1
2.974712208E0,9.823660254E-1,-5.553261638E-1,3.527153730E-1
2.984722208E0,7.771217823E-1,-4.503094852E-1,3.154300451E-1
2.994733208E0,5.544780493E-1,-2.855316997E-1,2.480083853E-1
3.004743208E0,3.236568570E-1,-7.905144244E-2,1.667209268E-1
3.014753208E0,1.030033082E-1,1.473193765E-1,8.006485552E-2
3.024764208E0,-1.003370136E-1,3.681166172E-1,1.170055848E-2
3.034774208E0,-2.621538639E-1,5.573227406E-1,-3.632555902E-2
3.044785208E0,-3.697357178E-1,6.811628938E-1,-7.446947694E-2
3.054795208E0,-4.283095598E-1,7.245354056E-1,-1.204497516E-1
3.064805542E0,-4.395636320E-1,7.103745341E-1,-1.794686019E-1
3.074816542E0,-4.162596464E-1,6.490898728E-1,-2.256491482E-1
3.084826542E0,-3.778816164E-1,5.507992506E-1,-2.550370991E-1
3.094836542E0,-3.297785521E-1,4.237939119E-1,-2.797789574E-1
3.104847542E0,-2.755210698E-1,2.788102925E-1,-3.153573275E-1
3.114857542E0,-2.189377099E-1,1.104388535E-1,-3.566003740E-1
3.124867542E0,-1.725772023E-1,-6.799665838E-2,-3.993186355E-1
3.134878542E0,-1.511217207E-1,-2.422334403E-1,-4.599350989E-1
3.144888542E0,-1.620192230E-1,-3.556164801E-1,-5.180900693E-1
