"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.541229292E0,8.312013745E-1,-2.450303078E0,9.368642569E-1,2.751834939E0
1.551211292E0,7.552559972E-1,-2.570068836E0,6.470460296E-1,2.755781923E0
1.561193292E0,5.929231644E-1,-2.565136671E0,4.043629467E-1,2.663642884E0
1.571175292E0,3.365392685E-1,-2.358190060E0,2.410293967E-1,2.394246062E0
1.581157292E0,3.035101295E-2,-2.039309025E0,1.886602938E-1,2.048241975E0
1.591139292E0,-2.910584509E-1,-1.634652138E0,2.335121930E-1,1.676702292E0
1.601121292E0,-6.077860594E-1,-1.154513001E0,3.269314170E-1,1.345060711E0
1.611103292E0,-9.045023918E-1,-6.232278347E-1,4.428388476E-1,1.184332620E0
1.621085292E0,-1.155468345E0,-1.088913754E-1,5.855334401E-1,1.299928397E0
1.631067292E0,-1.342863083E0,3.684698641E-1,7.558684349E-1,1.584420522E0
1.641049292E0,-1.442303658E0,7.692047358E-1,9.504328966E-1,1.890830097E0
1.651031292E0,-1.494901299E0,1.044569612E0,1.135124922E0,2.148107110E0
1.661013292E0,-1.529284239E0,1.161240697E0,1.325305700E0,2.333157825E0
1.670995292E0,-1.541693449E0,1.160333872E0,1.548335671E0,2.473971854E0
1.680977292E0,-1.508027196E0,1.091642499E0,1.813894153E0,2.599238613E0
1.690959292E0,-1.444714785E0,9.965232611E-1,2.095261812E0,2.733199861E0
1.700941292E0,-1.344236493E0,8.900735974E-1,2.396766424E0,2.888544971E0
1.710923292E0,-1.220965147E0,7.737187743E-1,2.660227060E0,3.027574053E0
1.720905292E0,-1.128078938E0,6.726752520E-1,2.803863287E0,3.096240206E0
1.730887292E0,-1.097865939E0,6.045172811E-1,2.810734510E0,3.077495614E0
1.740869292E0,-1.120086312E0,5.778790116E-1,2.714919090E0,2.993212850E0
1.750851292E0,-1.197668433E0,6.136367321E-1,2.570243120E0,2.901225502E0
1.760833583E0,-1.273541093E0,7.087070942E-1,2.407667160E0,2.814433125E0
1.770815583E0,-1.337708592E0,8.987193704E-1,2.219157934E0,2.742594159E0
1.780797583E0,-1.380781889E0,1.046771288E0,2.104789257E0,2.726247709E0
1.790779583E0,-1.398732662E0,1.156342506E0,2.037737370E0,2.728727659E0
