"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.084759549E0,7.693930626E0,1.264535904E0,3.762513161E0,8.657489521E0
1.089743716E0,7.442036629E0,1.542978287E0,3.532179832E0,8.380989533E0
1.094727883E0,7.194426060E0,1.814569473E0,3.273289442E0,8.109676472E0
1.099712049E0,6.905794144E0,2.091320515E0,2.979331970E0,7.806409753E0
1.104689549E0,6.602544308E0,2.349450111E0,2.717882872E0,7.516674429E0
1.109673351E0,6.304116249E0,2.613111019E0,2.446451664E0,7.249507337E0
1.114657205E0,6.067641735E0,2.817982197E0,2.156359673E0,7.029024607E0
1.119641060E0,5.921298027E0,3.031042099E0,1.872005582E0,6.910382871E0
1.124639080E0,5.757343769E0,3.185539246E0,1.577186227E0,6.766253317E0
1.129623664E0,5.589620590E0,3.274361610E0,1.291826248E0,6.605612565E0
1.134608195E0,5.389627457E0,3.350354195E0,9.878842235E-1,6.422528520E0
1.139592726E0,5.183675766E0,3.382622242E0,7.062327862E-1,6.229879006E0
1.144578820E0,4.945611000E0,3.442943096E0,4.877847731E-1,6.045730668E0
1.149563403E0,4.656602859E0,3.466969967E0,2.733926773E-1,5.811933800E0
1.154548039E0,4.326425552E0,3.500210762E0,1.062490344E-1,5.566032905E0
1.159532674E0,4.019908428E0,3.542860031E0,-5.861538649E-2,5.358633850E0
1.164512466E0,3.685031891E0,3.580937386E0,-1.897769570E-1,5.141846739E0
1.169496841E0,3.369869232E0,3.636133671E0,-3.060899377E-1,4.967008935E0
1.174481216E0,3.072272778E0,3.691924572E0,-4.526347220E-1,4.824318113E0
1.179465591E0,2.814057350E0,3.717628002E0,-5.623186231E-1,4.696368700E0
1.184457153E0,2.576299667E0,3.687387466E0,-6.493917108E-1,4.544871384E0
1.189441893E0,2.339992523E0,3.656403065E0,-6.827934384E-1,4.394434578E0
1.194426633E0,2.174475670E0,3.572396278E0,-7.222117186E-1,4.244048701E0
1.199411372E0,2.022672653E0,3.454952717E0,-7.913689017E-1,4.080951810E0
1.204386476E0,1.884726524E0,3.330578804E0,-8.089655638E-1,3.911441489E0
1.209370747E0,1.801311493E0,3.189890385E0,-8.039578795E-1,3.750529567E0
1.214355018E0,1.729435921E0,3.025902748E0,-7.358742356E-1,3.562098670E0
1.219339237E0,1.673964977E0,2.857883930E0,-6.453998089E-1,3.374344413E0
1.224330591E0,1.694715023E0,2.681215286E0,-5.377465487E-1,3.217164244E0
1.229315174E0,1.700909615E0,2.479311943E0,-3.725292385E-1,3.029663226E0
1.234299810E0,1.728263855E0,2.302254677E0,-1.763535738E-1,2.884158999E0
1.239284393E0,1.814857006E0,2.183249474E0,2.315044403E-3,2.839064912E0
1.244272518E0,1.867451668E0,2.050480843E0,2.014139891E-1,2.780722031E0
1.249257310E0,1.924283504E0,1.939676762E0,3.918105960E-1,2.760204429E0
1.254242101E0,1.961398125E0,1.819647789E0,6.161144972E-1,2.745505009E0
1.259226893E0,2.000320435E0,1.707072258E0,8.762868047E-1,2.771868702E0
1.264218039E0,2.036299229E0,1.623353004E0,1.105134368E0,2.828977111E0
1.269203143E0,2.073975086E0,1.570626736E0,1.304805636E0,2.910456794E0
1.274188247E0,2.104016304E0,1.536941528E0,1.501351118E0,3.007179584E0
1.279173403E0,2.169187069E0,1.502973080E0,1.668003559E0,3.121944345E0
1.284144445E0,2.257365704E0,1.451941013E0,1.787641287E0,3.224824646E0
1.289128820E0,2.330307007E0,1.419661045E0,1.943735361E0,3.350205275E0
1.294113247E0,2.421353340E0,1.389238358E0,2.102144241E0,3.494559432E0
1.299097622E0,2.456250668E0,1.365221977E0,2.238584280E0,3.592806419E0
1.304085122E0,2.511482239E0,1.297416687E0,2.371663809E0,3.689935273E0
1.309069653E0,2.496383190E0,1.286100388E0,2.526987076E0,3.777783334E0
1.314054185E0,2.425419807E0,1.266508579E0,2.606109381E0,3.778691748E0
1.319038768E0,2.370493412E0,1.272076130E0,2.706603050E0,3.816165191E0
1.324030747E0,2.286162376E0,1.290656567E0,2.725409031E0,3.784202316E0
1.329015643E0,2.141670227E0,1.293591976E0,2.707881927E0,3.686835512E0
1.334000591E0,2.001875401E0,1.326348305E0,2.675578833E0,3.595194993E0
1.338985539E0,1.897917747E0,1.348309994E0,2.545091629E0,3.449278623E0
1.343964393E0,1.810789108E0,1.390599728E0,2.362205982E0,3.285230875E0
1.348949028E0,1.780955315E0,1.405374527E0,2.172619104E0,3.141202503E0
1.353933612E0,1.720009804E0,1.325992584E0,1.957903504E0,2.924051332E0
1.358918247E0,1.692369461E0,1.262448311E0,1.623327494E0,2.663284116E0
1.363903560E0,1.678691387E0,1.159735680E0,1.289216638E0,2.413518419E0
1.368888247E0,1.678894997E0,1.065650463E0,9.439053535E-1,2.201194366E0
1.373872883E0,1.662011147E0,9.706573486E-1,5.519418716E-1,2.002272851E0
1.378857570E0,1.630374432E0,8.507938385E-1,1.518762112E-1,1.845274323E0
1.383846789E0,1.579261780E0,7.562031746E-1,-2.441569567E-1,1.767915052E0
1.388831633E0,1.484956264E0,6.558260918E-1,-5.786181092E-1,1.723369341E0
1.393816528E0,1.402682781E0,5.308008194E-1,-9.060854912E-1,1.752215572E0
1.398801476E0,1.327561378E0,4.408612251E-1,-1.192702413E0,1.838291837E0
1.403784080E0,1.219158649E0,3.335776329E-1,-1.526414275E0,1.981807859E0
1.408768872E0,1.089718342E0,2.092533112E-1,-1.773026824E0,2.091625476E0
1.413753612E0,9.107732773E-1,1.158285141E-1,-2.063591242E0,2.258613075E0
1.418738403E0,7.424163818E-1,1.056146622E-2,-2.302242756E0,2.419011231E0
1.423716893E0,5.801510811E-1,-3.217935562E-2,-2.450632572E0,2.518573166E0
1.428701372E0,4.168148041E-1,-7.690191269E-2,-2.594686508E0,2.629077131E0
1.433685799E0,3.290152550E-1,-1.303510666E-1,-2.712449074E0,2.735438249E0
1.438670278E0,2.165174484E-1,-2.112493515E-1,-2.801354170E0,2.817639310E0
1.443665747E0,1.605525017E-1,-2.526140213E-1,-2.844862938E0,2.860565693E0
1.448650695E0,1.824231148E-1,-3.116273880E-1,-2.868970871E0,2.891605727E0
1.453635747E0,2.384839058E-1,-3.645296097E-1,-2.937716007E0,2.969836990E0
1.458620747E0,2.494940758E-1,-3.114476204E-1,-3.043907881E0,3.069954739E0
1.463602935E0,2.700061798E-1,-2.844262123E-1,-3.101881742E0,3.126575115E0
1.468587778E0,2.426314354E-1,-2.978439331E-1,-3.181376219E0,3.204486803E0
1.473572622E0,2.224712372E-1,-2.799777985E-1,-3.253940105E0,3.273531309E0
1.478557518E0,1.762738228E-1,-2.594847679E-1,-3.360476017E0,3.375085757E0
1.483547935E0,1.087989807E-1,-2.269449234E-1,-3.434226036E0,3.443435738E0
1.488533039E0,1.045179367E-2,-1.515684128E-1,-3.537630081E0,3.540890963E0
1.493518195E0,-1.303524971E-1,-1.073246002E-1,-3.642229080E0,3.646140839E0
1.498503351E0,-3.014807701E-1,1.091146469E-2,-3.686089039E0,3.698413459E0
1.503480955E0,-4.836888313E-1,1.386036873E-1,-3.652496338E0,3.686990014E0
1.508465747E0,-6.818575859E-1,3.091020584E-1,-3.598703384E0,3.675750250E0
1.513450487E0,-9.077944756E-1,4.533405304E-1,-3.545698166E0,3.688032528E0
1.518435226E0,-1.087355137E0,6.121606827E-1,-3.531419754E0,3.745398160E0
